datetime,NO1,NO2,NO3,NO4,NO5,NO1_pct_hourly,NO2_pct_hourly,NO3_pct_hourly,NO4_pct_hourly,NO5_pct_hourly,NO1_pct_daily,NO2_pct_daily,NO3_pct_daily,NO4_pct_daily,NO5_pct_daily
2024-08-14 06:00:00+02:00,0.19275,0.64983,0.19275,0.19275,0.19275,0.9267986176562992,0.27157560140107506,0.9267986176562992,0.9267986176562992,0.9267986176562992,-21.323319319155885,13.404418693937403,-21.323319319155885,-21.323319319155885,-21.323319319155885
2024-08-14 07:00:00+02:00,0.2037,0.65007,0.2037,0.2037,0.2037,5.68093385214008,0.03693273625409166,5.68093385214008,5.68093385214008,5.68093385214008,-32.97137216189536,15.520764842819833,-32.97137216189536,-32.97137216189536,-32.97137216189536
2024-08-14 08:00:00+02:00,0.23184,0.65137,0.23184,0.23184,0.23184,13.814432989690717,0.19997846385773066,13.814432989690717,13.814432989690717,13.814432989690717,-24.56317313636808,12.30517241379312,-24.56317313636808,-24.56317313636808,-24.56317313636808
2024-08-14 09:00:00+02:00,0.24562,0.64701,0.24562,0.24562,0.24562,5.943754313319527,-0.6693584291570076,5.943754313319527,5.943754313319527,5.943754313319527,-19.86296900489396,13.970406905055487,-19.86296900489396,-19.86296900489396,-19.86296900489396
2024-08-14 10:00:00+02:00,0.23914,0.64642,0.23914,0.23914,0.23914,-2.6382216431886762,-0.09118869878362856,-2.6382216431886762,-2.6382216431886762,-2.6382216431886762,-12.447828952185692,9.508885463077466,-12.447828952185692,-12.447828952185692,-12.447828952185692
2024-08-14 11:00:00+02:00,0.21159,0.64819,0.21159,0.21159,0.21159,-11.520448272978168,0.2738157854026868,-11.520448272978168,-11.520448272978168,-11.520448272978168,-12.620276688003306,12.192124621376044,-12.620276688003306,-12.620276688003306,-12.620276688003306
2024-08-14 12:00:00+02:00,0.20558,0.64983,0.20558,0.20558,0.20558,-2.8403988846353756,0.25301223406717366,-2.8403988846353756,-2.8403988846353756,-2.8403988846353756,-5.5499402738215515,29.528194701907573,-5.5499402738215515,-5.5499402738215515,-5.5499402738215515
2024-08-14 13:00:00+02:00,0.1997,0.65513,0.1997,0.1997,0.1997,-2.8602004086000665,0.8155979256113,-2.8602004086000665,-2.8602004086000665,-2.8602004086000665,-5.846298915605852,38.03834808259585,-5.846298915605852,-5.846298915605852,-5.846298915605852
2024-08-14 14:00:00+02:00,0.19746,0.65831,0.19746,0.19746,0.19746,-1.121682523785672,0.4853998443057117,-1.121682523785672,-1.121682523785672,-1.121682523785672,-10.83314517949876,22.173969526566808,-10.83314517949876,-10.83314517949876,-10.83314517949876
2024-08-14 15:00:00+02:00,0.19816,0.67197,0.19816,0.19816,0.19816,0.35450217765624625,2.0750102535279646,0.35450217765624625,0.35450217765624625,0.35450217765624625,-20.94785973590777,16.594659309770442,-20.94785973590777,-20.94785973590777,-20.94785973590777
2024-08-14 16:00:00+02:00,0.20017,0.65925,0.20017,0.20017,0.20017,1.014331853048045,-1.8929416491807571,1.014331853048045,1.014331853048045,1.014331853048045,-27.40888485947417,12.38109849647131,-27.40888485947417,-27.40888485947417,-27.40888485947417
2024-08-14 17:00:00+02:00,0.22324,0.67444,0.22324,0.22324,0.22324,11.525203576959587,2.304133485020854,11.525203576959587,11.525203576959587,11.525203576959587,-19.145237232886636,8.638713938241981,-19.145237232886636,-19.145237232886636,-19.145237232886636
2024-08-14 18:00:00+02:00,0.24656,0.702,0.24656,0.24656,0.24656,10.446156602759359,4.08635312259058,10.446156602759359,10.446156602759359,10.446156602759359,-12.53636041149343,12.307421568784282,-12.53636041149343,-12.53636041149343,-12.53636041149343
2024-08-14 19:00:00+02:00,0.23408,0.67221,0.23408,0.23408,0.23408,-5.0616482803374385,-4.243589743589737,-5.0616482803374385,-5.0616482803374385,-5.0616482803374385,-10.014223657402056,7.256713417261018,-10.014223657402056,-10.014223657402056,-10.014223657402056
2024-08-14 20:00:00+02:00,0.21159,0.65855,0.217,0.217,0.21159,-9.607826384142182,-2.032103063030899,-7.296650717703357,-7.296650717703357,-9.607826384142182,-14.005283478967689,6.099663277964851,-11.806543385490754,-11.806543385490754,-14.005283478967689
2024-08-14 21:00:00+02:00,0.19993,0.68304,0.22124,0.22124,0.19993,-5.5106574034689775,3.718776099005394,1.953917050691234,1.953917050691234,-5.5106574034689775,-6.522348980736858,13.371398220687825,3.4411819711988034,3.4411819711988034,-6.522348980736858
2024-08-14 22:00:00+02:00,0.22018,0.65819,0.22018,0.22018,0.22018,10.128544990746757,-3.6381471070508264,-0.4791177002350433,-0.4791177002350433,10.128544990746757,1.1577689975190708,12.47073700039303,1.1577689975190708,1.1577689975190708,1.1577689975190708
2024-08-14 23:00:00+02:00,0.17838,0.65702,0.19416,0.19416,0.17838,-18.984467254064853,-0.1777602212127194,-11.817603778726493,-11.817603778726493,-18.984467254064853,0.7967452110527296,11.170896785110006,9.71351076453637,9.71351076453637,0.7967452110527296
2024-08-15 00:00:00+02:00,0.21423,0.67797,0.19725,0.19725,0.21423,20.09754456777666,3.1886396152323915,1.5914709517923509,1.5914709517923509,20.09754456777666,5.169366715758472,20.485160831704285,-3.16642120765831,-3.16642120765831,5.169366715758472
2024-08-15 01:00:00+02:00,0.19748,0.67432,0.18639,0.18639,0.19748,-7.818699528544093,-0.5383719043615343,-5.505703422053232,-5.505703422053232,-7.818699528544093,1.0334595313619133,10.709418969282037,-4.640335618540881,-4.640335618540881,1.0334595313619133
2024-08-15 02:00:00+02:00,0.1871,0.66877,0.18191,0.18191,0.1871,-5.256228478833302,-0.8230513702693121,-2.4035624228767705,-2.4035624228767705,-5.256228478833302,3.656509695290855,5.064961588613248,0.7811634349030427,0.7811634349030427,3.656509695290855
2024-08-15 03:00:00+02:00,0.18616,0.64789,0.17825,0.17825,0.18616,-0.5024051309460154,-3.12214961795535,-2.0119839481061996,-2.0119839481061996,-0.5024051309460154,5.329863075704422,1.690419387242592,0.8543623401606748,0.8543623401606748,5.329863075704422
2024-08-15 04:00:00+02:00,0.18427,0.56862,0.16504,0.16504,0.18427,-1.01525569402664,-12.235101637623668,-7.410939691444596,-7.410939691444596,-1.01525569402664,1.230566390155463,-11.874651292542316,-9.33362632533099,-9.33362632533099,1.230566390155463
2024-08-15 05:00:00+02:00,0.18722,0.56685,0.14581,0.14581,0.18722,1.6009117056493327,-0.3112799409095812,-11.651720794958798,-11.651720794958798,1.6009117056493327,-1.9687925437218645,-12.532596787384087,-23.651691276573473,-23.651691276573473,-1.9687925437218645
2024-08-15 06:00:00+02:00,0.21305,0.66169,0.13519,0.13519,0.21305,13.796602927037704,16.7310575990121,-7.283451066456337,-7.283451066456337,13.796602927037704,10.531776913099854,1.8250927165566422,-29.862516212710766,-29.862516212710766,10.531776913099854
2024-08-15 07:00:00+02:00,0.21978,0.66865,0.18014,0.18014,0.21978,3.1588828913400757,1.0518520757454297,33.249500702714684,33.249500702714684,3.1588828913400757,7.8939617083947144,2.8581537372898147,-11.566028473244971,-11.566028473244971,7.8939617083947144
2024-08-15 08:00:00+02:00,0.23547,0.68316,0.23547,0.23547,0.23547,7.138957138957136,2.170044118746728,30.714999444876213,30.714999444876213,7.138957138957136,1.5657349896480488,4.88048267497736,1.5657349896480488,1.5657349896480488,1.5657349896480488
2024-08-15 09:00:00+02:00,0.23523,0.66806,0.23523,0.23523,0.23523,-0.1019238119505772,-2.210316763276543,-0.1019238119505772,-0.1019238119505772,-0.1019238119505772,-4.23011155443368,3.253427304060219,-4.23011155443368,-4.23011155443368,-4.23011155443368
2024-08-15 10:00:00+02:00,0.23205,0.56614,0.2245,0.2245,0.23205,-1.351868384134669,-15.256114720234715,-4.561493006844364,-4.561493006844364,-1.351868384134669,-2.964790499289116,-12.419170198941865,-6.121936940704186,-6.121936940704186,-2.964790499289116
2024-08-15 11:00:00+02:00,0.23523,0.4707,0.18002,0.18002,0.23523,1.3703943115707773,-16.858020984208842,-19.812917594654788,-19.812917594654788,1.3703943115707773,11.17255068765064,-27.38240330767213,-14.920364856562218,-14.920364856562218,11.17255068765064
2024-08-15 12:00:00+02:00,0.17825,0.17825,0.17861,0.17861,0.17825,-24.223100794966633,-62.13086891863182,-0.7832463059660122,-0.7832463059660122,-24.223100794966633,-13.294094756299257,-72.56974901127988,-13.11898044556864,-13.11898044556864,-13.294094756299257
2024-08-15 13:00:00+02:00,0.11726,0.11726,0.17872,0.17872,0.11726,-34.21598877980364,-34.21598877980364,0.06158669727338584,0.06158669727338584,-34.21598877980364,-41.281922884326484,-82.10126234487811,-10.50575863795693,-10.50575863795693,-41.281922884326484
2024-08-15 14:00:00+02:00,0.11809,0.11809,0.1766,0.1766,0.11809,0.7078287566092412,0.7078287566092412,-1.1862130707251506,-1.1862130707251506,0.7078287566092412,-40.1954826293933,-82.06164269113336,-10.56416489415577,-10.56416489415577,-40.1954826293933
2024-08-15 15:00:00+02:00,0.18639,0.18639,0.18309,0.18309,0.18639,57.83724278092981,57.83724278092981,3.674971687429207,3.674971687429207,57.83724278092981,-5.93964473153008,-72.26215456047144,-7.604965684295517,-7.604965684295517,-5.93964473153008
2024-08-15 16:00:00+02:00,0.26708,0.48226,0.18686,0.18686,0.26708,43.29094908525135,158.7370567090509,2.059096619149048,2.059096619149048,43.29094908525135,33.42658740070941,-26.847174819871068,-6.6493480541539585,-6.6493480541539585,33.42658740070941
2024-08-15 17:00:00+02:00,0.22391,0.53063,0.18521,0.18521,0.22391,-16.16369627078028,10.029859411935483,-0.8830140211923299,-0.8830140211923299,-16.16369627078028,0.3001254255509789,-21.322875274301644,-17.035477512990493,-17.035477512990493,0.3001254255509789
2024-08-15 18:00:00+02:00,0.22025,0.61297,0.18568,0.18568,0.22025,-1.6345853244607245,15.517403840717625,0.25376599535662514,0.25376599535662514,-1.6345853244607245,-10.670830629461392,-12.682336182336174,-24.691758598312774,-24.691758598312774,-10.670830629461392
2024-08-15 19:00:00+02:00,0.21624,0.66169,0.19253,0.19253,0.21624,-1.8206583427922918,7.948186697554527,3.689142610943552,3.689142610943552,-1.8206583427922918,-7.621326042378684,-1.5649871319974418,-17.750341763499655,-17.750341763499655,-7.621326042378684
