datetime,NO1_label,NO2_label,NO3_label,NO4_label,NO5_label,NO1_pct_hourly_label,NO2_pct_hourly_label,NO3_pct_hourly_label,NO4_pct_hourly_label,NO5_pct_hourly_label,NO1_pct_daily_label,NO2_pct_daily_label,NO3_pct_daily_label,NO4_pct_daily_label,NO5_pct_daily_label
2025-05-28 14:00:00+02:00,0.60383,0.68973,0.18696,0.02435,0.53091,0.000961458765022849,0.001001393242772597,-0.15076084487849206,-0.5410855635130042,0.024843641417651163,25.94747929833343,39.4098029307731,15.329097526370973,40.91435185185186,10.498053988802637
2025-05-28 15:00:00+02:00,0.80216,0.83891,0.00689,0.05455,0.50644,0.3284533726379941,0.21628753280269097,-0.9631471972614463,1.2402464065708418,-0.04609067450226967,25.848760589896468,27.24445994933944,0.0,112.3394316854807,4.452923584613799
2025-05-28 16:00:00+02:00,0.81215,0.85073,0.00953,0.04881,0.53699,0.012453874538745469,0.014089711649640568,0.38316400580551524,-0.10522456461961505,0.06032303925440319,11.178797793262074,14.031231150727152,0.0,387.1257485029941,10.753841394245644
2025-05-28 17:00:00+02:00,0.83259,0.91378,0.04628,0.01941,0.5378,0.02516776457550951,0.07411282075394077,3.856243441762854,-0.6023355869698832,0.001508407977802051,1.3623082542001397,7.8422810475257565,0.0,0.0,11.6926272066459
2025-05-28 18:00:00+02:00,0.87026,0.91883,0.02205,0.12001,0.53803,0.04524435796730675,0.005526494342183108,-0.5235522904062231,5.1828954147346735,0.0004276682781705343,0.0,0.0,0.0,101.46046667785802,11.234468357832505
2025-05-28 19:00:00+02:00,0.88094,0.96971,0.04594,0.065,0.53492,0.012272194516581125,0.0553747700880467,1.0834467120181408,-0.45837846846096164,-0.005780346820809301,0.0,0.0,0.0,16.550116550116556,10.907922290642924
2025-05-28 20:00:00+02:00,0.81938,0.94054,0.10979,0.01332,0.53263,-0.069879901014825,-0.030081158284435472,1.389856334349151,-0.795076923076923,-0.004281013983399196,0.0,0.0,0.0,0.0,12.146797490209304
2025-05-28 21:00:00+02:00,0.80089,0.9178,0.10979,0.01252,0.53447,-0.022565842466254926,-0.024177600102069152,0.0,-0.06006006006006004,0.003454555695323158,0.0,0.0,0.0,0.0,14.366721588599065
2025-05-28 22:00:00+02:00,0.77012,0.83236,0.05317,0.01642,0.53573,-0.03841975801920361,-0.09309217694486815,-0.515711813462064,0.31150159744408956,0.002357475630063499,0.0,0.0,0.0,13.085399449035815,14.128373916192682
2025-05-28 23:00:00+02:00,0.81612,0.8549,0.02393,0.01806,0.51133,0.05973095102062009,0.027079629006679706,-0.5499341734060561,0.09987819732034109,-0.04554533067030053,18.64106179767113,5.339034217627559,0.0,26.82584269662922,0.0
2025-05-29 00:00:00+02:00,0.81555,0.85421,0.00391,0.08273,0.49177,-0.0006984267019555235,-0.0008071119429172713,-0.8366067697450899,3.580841638981174,-0.03825318287602908,21.89489731862613,9.208877751924115,0.0,505.19385515727873,0.0
2025-05-29 01:00:00+02:00,0.80795,0.84638,0.00978,0.04994,0.50201,-0.009318864569922147,-0.009166364242984781,1.5012787723785164,-0.3963495708932673,0.020822742338898248,23.99478207489256,12.57148937302157,0.0,271.5773809523809,0.0
